LSOA11CD,Population,Age_0_15,Age_16_64,Age_65_plus
E01031610,1927,429,1189,309
E01031583,2230,477,1573,180
E01031584,1774,440,1058,276
E01031585,2118,400,1407,311
E01031601,1306,288,762,256
E01032835,2223,507,1623,93
E01032836,1879,395,1186,298
E01031589,1774,342,1067,365
E01031591,1902,436,1251,215
E01031594,1438,346,879,213
E01031600,1425,276,893,256
E01031603,1537,306,1045,186
E01031564,1531,321,919,291
E01031565,2202,525,1366,311
E01031566,1643,328,964,351
E01031567,1356,225,761,370
E01031568,1443,310,1017,116
E01031596,1912,501,1195,216
E01031597,1460,258,851,351
E01031598,1776,346,1152,278
E01031599,1930,399,1259,272
E01031608,2291,509,1577,205
E01031578,1657,349,1118,190
E01031580,2425,600,1614,211
E01031581,1688,370,1159,159
E01031592,1922,359,1204,359
E01031560,1503,266,846,391
E01031561,1492,276,871,345
E01031562,1306,283,736,287
E01031563,1443,259,882,302
E01031579,1419,280,1028,111
E01031582,1919,448,1371,100
E01031547,1274,303,862,109
E01031548,1645,428,1041,176
E01031549,1724,448,1153,123
E01031550,1385,290,987,108
E01031569,1557,389,900,268
E01031595,1625,361,1014,250
E01031604,1566,320,952,294
E01031605,1591,400,970,221
E01031606,1490,356,876,258
E01031607,1455,339,877,239
E01031546,1399,342,956,101
E01031551,1537,380,1044,113
E01031553,1491,354,1013,124
E01031554,1924,421,1313,190
E01031555,1637,437,1064,136
E01031552,1955,443,1212,300
E01031556,1623,344,1139,140
E01031557,1980,343,1438,199
E01031558,1665,391,1004,270
E01031559,1592,420,998,174
E01031670,1621,225,1108,288
E01031671,1640,259,1082,299
E01031673,1638,307,1083,248
E01031676,4674,1027,2896,751
E01031644,1782,394,1094,294
E01031645,1416,282,933,201
E01031646,1526,234,1064,228
E01031647,1197,208,723,266
E01031649,1104,177,710,217
E01031650,1313,229,843,241
E01031666,1558,260,843,455
E01031668,1512,255,796,461
E01031620,2059,460,1277,322
E01031648,1651,260,1002,389
E01031651,1606,319,1004,283
E01031658,2255,385,1299,571
E01031689,1617,330,999,288
E01031654,1581,250,909,422
E01031655,1703,382,1134,187
E01031667,1491,256,855,380
E01031669,1711,362,1070,279
E01031672,2003,325,1333,345
E01031657,1989,319,1267,403
E01031659,1751,321,1067,363
E01031674,1465,240,877,348
E01031675,1561,283,842,436
E01031636,2686,377,1703,606
E01031652,1796,455,1112,229
E01031653,1966,289,1278,399
E01031656,1920,340,1290,290
E01031688,1367,246,775,346
E01031691,1825,350,1040,435
E01031619,4128,1104,2678,346
E01031637,3173,633,1922,618
E01031638,1833,355,1122,356
E01031690,1468,280,785,403
E01031639,2044,341,1233,470
E01031640,1816,331,950,535
E01031660,1303,176,728,399
E01031661,1629,254,979,396
E01031679,2083,608,1273,202
E01031677,1606,315,952,339
E01031678,1937,434,1210,293
E01031680,1568,263,1042,263
E01031681,1660,349,1069,242
E01031682,1156,212,788,156
E01031683,1498,295,977,226
E01031611,2292,419,1369,504
E01031612,1911,376,1177,358
E01031613,2993,725,1764,504
E01031614,2445,503,1457,485
E01031615,1670,287,925,458
E01031632,1616,233,986,397
E01031633,1331,214,728,389
E01031634,1299,215,789,295
E01031635,1321,227,835,259
E01031621,1666,102,646,918
E01031623,1648,186,846,616
E01031627,1936,265,954,717
E01031664,1542,212,833,497
E01031626,1560,212,747,601
E01031630,1714,222,795,697
E01031631,1673,282,835,556
E01031662,1581,178,922,481
E01031663,2170,480,1278,412
E01031665,1249,185,696,368
E01031618,1355,204,764,387
E01031641,1506,147,712,647
E01031642,2334,448,1292,594
E01031643,1981,421,1070,490
E01031687,1719,331,1033,355
E01031622,1605,284,950,371
E01031624,1680,327,969,384
E01031625,1876,374,1056,446
E01031628,1796,413,970,413
E01031629,1496,223,788,485
E01031616,1635,336,935,364
E01031617,2413,348,1298,767
E01031684,1491,218,857,416
E01031685,1680,206,815,659
E01031686,1404,198,683,523
E01031731,1991,419,1221,351
E01031732,1932,420,1137,375
E01031733,1737,329,1091,317
E01031734,1557,267,954,336
E01031741,2105,382,1323,400
E01031742,2180,310,1303,567
E01031743,1682,311,1119,252
E01031718,1914,357,1169,388
E01031719,1743,311,1090,342
E01031720,1468,238,868,362
E01031722,1356,304,843,209
E01031695,1454,299,803,352
E01031696,1387,253,836,298
E01031729,2263,480,1316,467
E01031730,1765,376,1190,199
E01031735,1644,260,946,438
E01031736,1727,282,979,466
E01031737,1577,303,962,312
E01031738,1508,313,816,379
E01031739,1939,316,1162,461
E01031740,1287,218,756,313
E01031721,1909,370,959,580
E01031723,1675,302,965,408
E01031724,1307,232,812,263
E01031725,1472,293,777,402
E01031694,2005,381,1254,370
E01031764,1417,261,816,340
E01031765,1471,276,849,346
E01031766,1977,327,1164,486
E01031692,2751,660,1746,345
E01031693,1872,398,1061,413
E01031697,1197,179,737,281
E01031727,1786,329,987,470
E01031758,1411,299,776,336
E01031760,1846,378,1110,358
E01031772,2086,458,1143,485
E01031773,1976,373,1067,536
E01031774,2312,566,1203,543
E01031775,1905,445,926,534
E01031751,2749,473,1911,365
E01031759,1789,351,1043,395
E01031761,2390,306,1555,529
E01032837,2330,536,1296,498
E01032838,1626,409,1058,159
E01032839,1305,216,851,238
E01031752,1915,549,1148,218
E01031753,1500,324,894,282
E01031754,1687,299,1063,325
E01031755,1388,310,860,218
E01031757,1455,257,926,272
E01031726,1666,419,1015,232
E01031728,2978,676,1729,573
E01031749,1545,315,928,302
E01031750,1482,286,936,260
E01031756,2791,586,1804,401
E01031763,1934,405,1131,398
E01031699,1639,303,1109,227
E01031700,1664,320,1142,202
E01031701,1889,424,1189,276
E01031714,1907,421,1148,338
E01031704,1748,328,1046,374
E01031706,1606,246,913,447
E01031711,2747,670,1724,353
E01031712,1489,314,919,256
E01031713,1714,324,993,397
E01031705,1521,304,986,231
E01031707,1497,207,855,435
E01031708,1895,342,1261,292
E01031709,1756,282,1036,438
E01031716,1199,300,737,162
E01031717,1417,249,942,226
E01031702,1576,261,894,421
E01031703,1696,264,851,581
E01031710,1392,203,773,416
E01031715,1636,320,1114,202
E01031698,1785,353,1083,349
E01031767,2073,502,1204,367
E01031769,1819,425,1090,304
E01031770,1804,337,1070,397
E01031771,1621,366,1010,245
E01031744,1541,268,874,399
E01031745,2074,419,1097,558
E01031746,1725,361,1109,255
E01031747,1583,263,832,488
E01031748,1399,267,780,352
E01031768,1609,266,797,546
E01031793,1337,167,698,472
E01031820,1733,173,816,744
E01031821,1683,272,900,511
E01031828,1270,131,675,464
E01031829,1585,197,791,597
E01031822,1656,248,890,518
E01031825,1626,180,826,620
E01031826,1404,277,833,294
E01031827,1524,290,880,354
E01031839,1751,391,1024,336
E01031792,1456,256,832,368
E01031794,1340,208,640,492
E01031795,1700,468,994,238
E01031818,1963,418,1223,322
E01031830,1574,349,902,323
E01031778,1571,295,985,291
E01031797,1346,246,834,266
E01031800,1635,355,965,315
E01031823,1586,317,920,349
E01031824,1280,236,778,266
E01031776,1631,332,1078,221
E01031777,1622,337,1013,272
E01031780,1503,312,988,203
E01031781,1681,371,1043,267
E01031798,1549,282,1059,208
